ProductRelated,ProductRelated_Duration,Administrative_Duration,BounceRates,ExitRates,PageValues,VisitorType,Month_May,Month_Nov,OperatingSystems_Android,OperatingSystems_iOS,TrafficType_Direct_Traffic,TrafficType_Organic_Traffic,TrafficType_Referral_Traffic,TrafficType_Social_Traffic,Purchase
0.21521489571036773,0.3062093016432826,0.0,0.0,0.5526335288959652,0.0,0,1,0,0,1,0,1,0,0,0
0.1357854811154492,0.42397036219342465,0.0,0.8112484121144539,0.8103765576637136,0.0,0,0,0,0,1,0,1,0,0,0
0.5431419244617968,0.6440320576849341,0.6649599054801598,0.0,0.1633421677770985,0.0,0,0,1,1,0,0,0,0,1,0
0.7368079703770293,0.7720621608386089,0.0,0.12229660879179675,0.1990238994433058,0.0,0,0,0,0,1,1,0,0,0,0
0.3510003768258169,0.5304681420596972,0.0,0.0,0.22741202629365637,0.0,1,0,0,1,0,1,0,0,0,0
0.5024659874665054,0.6536501554621267,0.0,0.21252815223133184,0.3742113479578426,0.0,0,0,0,1,0,0,0,0,1,0
0.4073564433463476,0.623195679570269,0.5961139971328735,0.1915862039963217,0.17138972170883904,0.0,0,0,0,1,0,1,0,0,0,0
0.8559619017375343,0.9354099319603878,0.8181107577823876,0.0350669650776199,0.03791919400955164,0.0,0,0,1,0,1,0,1,0,0,0
0.5431419244617968,0.5852332404839278,0.0,0.08584930574482698,0.1525946879521016,0.0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,0.2505871842680453,0.0,0.3742113479578426,0.0,0,0,0,0,0,0,0,0,0,0
0.4867858579412661,0.6359285630297008,0.0,0.0,0.06406986029532917,0.0,0,1,0,1,0,0,1,0,0,0
1.0,1.0,0.689438749385525,0.009813067824063297,0.058501873679360425,0.1991327308484917,0,0,1,1,0,0,1,0,0,0
0.3510003768258169,0.534543311632734,0.0,0.0,0.1148208494262307,0.0,0,1,0,1,0,0,1,0,0,0
0.5304990191901265,0.6292876182649065,0.4500267544982024,0.0,0.21345711361846353,0.0,0,1,0,1,0,0,0,0,1,0
0.5868550857106573,0.7080640722633705,0.43168810407145947,0.2386107971144683,0.26446176070297317,0.8189136895326883,0,0,1,0,1,0,0,0,0,1
0.6596432866731061,0.829194682160465,0.9999999999999999,0.009595154797867687,0.05281473707883159,0.0,0,0,0,0,1,1,0,0,0,0
0.31528412347975887,0.7183154175848985,0.0,0.0,0.28289822404828985,0.0,0,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.5526335288959652,0.0,0,0,0,1,0,1,0,0,0,0
0.7176808831768731,0.7985644045924417,0.8796742189823761,0.0,0.02754524756130546,0.7223131869252822,1,0,1,0,0,0,0,0,0,1
0.4867858579412661,0.695230163127152,0.35850921028591026,0.0,0.1148208494262307,1.0,0,1,0,1,0,0,1,0,0,1
0.3811980387534162,0.5732783023348643,0.0,0.0,0.1901240282777411,0.0,0,0,0,0,1,1,0,0,0,0
0.1357854811154492,0.41990739635650093,0.0,0.0,0.5526335288959652,0.0,0,0,0,0,1,0,0,0,0,0
0.614234036558744,0.6894895670377145,0.4679804886059405,0.0,0.01378897793997314,0.0,0,0,1,0,0,0,0,0,1,0
0.5304990191901265,0.5993773980307899,0.0,0.0,0.0,0.706410083258684,1,0,0,1,0,0,0,0,0,1
0.3510003768258169,0.5478244099525931,0.0,0.25421014998046026,0.30127625160145727,0.0,0,0,1,0,1,0,0,1,0,0
0.2715709622308984,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,1,0
0.7125923622719402,0.876447589783571,0.0,0.06969452205136485,0.10456931907524511,0.0,0,0,1,0,0,1,0,0,0,0
0.8350463713602911,0.8596458881405638,0.7318580794395091,0.0,0.024109240060250135,0.0,1,0,1,1,0,1,0,0,0,0
0.2715709622308984,0.0,0.0,1.0,1.0,0.0,0,0,1,0,1,0,0,0,1,0
0.3811980387534162,0.4870035980006673,0.8245507127898484,0.0,0.1148208494262307,0.0,0,0,0,0,0,1,0,0,0,0
0.9680531244640734,0.9347502830015423,0.894302102346794,0.012779880505530606,0.06448904047283284,1.0,0,0,0,1,0,0,0,0,0,0
0.5550181084406983,0.5730887005617155,0.0,0.3162348145636645,0.35151752689149174,0.0,0,1,0,1,0,0,0,0,1,0
0.3811980387534162,0.5119083083715267,0.942118357011824,0.3162348145636645,0.31349599363071884,0.0,0,1,0,1,0,0,0,0,0,0
0.6662845003055758,0.8789178422609577,0.0,0.0,0.013314046008786412,0.0,0,0,1,1,0,1,0,0,0,0
0.6305682469595177,0.7763812964386996,0.1710523642401688,0.16004585958127984,0.19946853405256726,0.7845872098006968,0,1,0,1,0,0,0,0,0,0
0.6055260678381118,0.7602887255311266,0.7688496055696551,0.0,0.05769463938015944,0.0,0,0,0,1,0,1,0,0,0,0
0.576806881156491,0.8074871288901593,0.6181687803256299,0.0,0.05496025705261826,0.0,1,0,0,1,0,1,0,0,0,0
0.7500195176741932,0.7985327530529459,0.0,0.0,0.19410225455993876,0.5106943930468085,0,0,0,1,0,0,1,0,0,1
0.3811980387534162,0.501008924107433,0.4948184422937634,0.0,0.08224624853429233,0.0,1,0,0,1,0,1,0,0,0,0
0.1357854811154492,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0
0.43042979142073545,0.7458094182118286,0.0,0.0,0.24828162321275007,0.0,0,0,0,1,0,0,0,0,1,0
0.3811980387534162,0.5615619615308832,0.8565380461474089,0.0,0.06406986029532917,0.0,0,1,0,0,1,1,0,0,0,0
0.696482162233175,0.8044474517562469,0.0,0.2523768772299772,0.33410329731916233,0.0,0,0,0,0,1,0,0,0,0,0
0.3510003768258169,0.6707810125845665,0.9075585074042501,0.0,0.10940444201902569,0.0,1,0,0,1,0,0,0,0,0,0
0.4697405867226626,0.6493827163021317,0.0,0.11678744654549213,0.20710284966834544,0.0,0,1,0,1,0,0,0,0,0,0
0.4697405867226626,0.7317123527804974,0.0,0.1915862039963217,0.28289822404828985,0.0,0,0,0,0,1,0,1,0,0,0
0.1357854811154492,0.7038339573211911,0.0,0.0,0.5526335288959652,0.0,0,1,0,0,0,0,0,0,1,0
0.21521489571036773,0.395363105953994,0.0,0.0,0.5526335288959652,0.0,0,1,0,0,0,0,0,0,1,0
0.31528412347975887,0.49924529109133814,0.7062207124562684,0.0,0.1784221827500795,0.0,0,0,0,0,0,0,0,0,0,0
0.3510003768258169,0.49965473167212715,0.0,0.61775559786564,0.793545594214058,0.0,0,0,0,0,0,0,1,0,0,0
0.614234036558744,0.7031763170043509,0.8340128323613597,0.0,0.1976008395224793,0.0,0,0,0,0,0,0,0,0,0,1
0.5304990191901265,0.5988299530856983,0.0,0.007972358659069255,0.381304533136133,0.0,0,0,0,0,0,0,1,0,0,0
0.1357854811154492,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,1,0,0,0
0.6662845003055758,0.8547145138044792,0.7892211445657987,0.04168199628153758,0.10748127211285255,0.5533121654917311,0,0,0,1,0,1,0,0,0,1
0.707368131600423,0.7605715089402513,0.0,0.20687483420824376,0.3116811711859467,0.0,0,1,0,0,0,0,0,0,1,0
0.6225713390567154,0.7583389109201406,0.6239360534216442,0.0,0.07099151083445998,0.0,0,0,0,1,0,0,0,0,0,0
0.614234036558744,0.7474959727131859,0.7874484661565623,0.0,0.04279180381778585,0.8503266179872155,1,0,0,0,0,0,0,0,0,1
0.7920217768668588,0.8216246387782031,0.709032127895908,0.12835128304003934,0.17357851325306548,0.0,0,0,1,1,0,0,0,0,1,0
0.4073564433463476,0.7700481190829751,0.0,0.0,0.0958412487252621,0.6727280554014432,1,1,0,0,0,1,0,0,0,1
0.5550181084406983,0.6511804285214083,0.0,0.16004585958127984,0.21345711361846353,0.0,0,0,1,0,0,1,0,0,0,0
0.7176808831768731,0.8699383359222178,0.9999999999999999,0.07911292084331971,0.08983475743916748,0.5611400859502387,0,0,0,0,0,1,0,0,0,1
0.7920217768668588,0.787369818078441,0.5895463800737909,0.16954133926585427,0.31226659728320016,0.39845223458095547,0,1,0,0,1,0,0,0,0,0
0.5431419244617968,0.7369494756173927,0.860924211455749,0.0,0.024109240060250135,0.0,0,1,0,1,0,0,1,0,0,0
0.5964129344637839,0.7370774846680828,0.0,0.05435275683108485,0.15061270989345177,0.0,0,0,0,0,1,0,1,0,0,0
0.9735717158825322,0.940140481312015,0.7716151946523387,0.01761285581513959,0.08987646241810596,0.4496891514085234,0,0,1,1,0,1,0,0,0,0
